"","state","district","state_dist","Dem_Pred","Rep_Pred","Und_Pred","Dem_Act","Rep_Act","Und_Act","Winner","total","Win_Party","Dem_Error","Rep_Error","Und_Error"
"1","AZ","06","az06",35.9590231508278,49.9673399608079,14.0736368883643,44.373992600016,55.626007399984,0,"David Schweikert",262433,"R",8.41496944918822,5.65866743917606,-14.0736368883643
"2","CA","10","ca10",47.2835118896255,44.9214350983773,7.79505301199721,50.9542244726505,49.0457755273495,0,"UNDECIDED",176164,"UNDECIDED",3.67071258302498,4.12434042897224,-7.79505301199721
"3","CA","25","ca25",43.9771912653157,48.4022318258396,7.62057690884462,51.7259552042161,48.2740447957839,0,"Katie Hill",174570,"D",7.74876393890035,-0.12818703005572,-7.62057690884462
"4","CA","39","ca39",46.9691532258065,45.9472379032258,7.08360887096774,49.1841221374046,50.8158778625954,0,"UNDECIDED",163750,"UNDECIDED",2.21496891159813,4.86863995936961,-7.08360887096774
"5","CA","45","ca45",47.7569224991518,46.4799277434435,5.76314975740466,49.5095420774049,50.4904579225951,0,"UNDECIDED",205930,"UNDECIDED",1.75261957825314,4.01053017915153,-5.76314975740466
"6","CA","48","ca48",46.4475508894387,44.7180625200738,8.83438659048755,51.8070090646361,48.1929909353639,0,"Harley Rouda",202766,"D",5.35945817519742,3.47492841529011,-8.83438659048755
"7","CA","49","ca49",53.3679307773785,38.6527636888438,7.97930553377771,54.2188139059305,45.7811860940695,0,"Mike Levin",195600,"D",0.850883128551985,7.12842240522572,-7.97930553377771
"8","CO","06","co06",46.6049301590771,37.9048691511599,15.490200689763,54.0358247918281,42.9504175091631,3.01375769900882,"Jason Crow",343226,"D",7.43089463275103,5.04554835800315,-12.4764429907542
"9","FL","15","fl15",42.8422330345156,43.4943173335305,13.6634496319538,46.9485513608428,53.0514486391572,0,"Ross Spano",284750,"R",4.10631832632721,9.55713130562663,-13.6634496319538
"10","FL","26","fl26",44.7002631065815,43.8417649082874,11.457971985131,50.8665190957101,49.1334809042899,0,"Debbie Mucarsel-Powell",235367,"D",6.1662559891286,5.29171599600245,-11.457971985131
"11","FL","27","fl27",44.0647860973913,36.8483152182938,19.0868986843149,51.7503515756531,45.7725751183473,2.47707330599956,"Donna Shalala",252435,"D",7.68556547826182,8.92425990005354,-16.6098253783153
